inventory_id,product_id,warehouse_id,stock_level_units,reorder_point_units,avg_daily_demand,days_of_supply,last_replenishment_date,stockout_count_30d,status
INV-0001,PRD-001,WH-08,1060,457,26.4,40,2024-10-28,0,healthy
INV-0002,PRD-001,WH-14,1319,457,15.0,87,2024-11-24,0,healthy
INV-0003,PRD-001,WH-05,1348,457,18.6,72,2024-09-08,0,healthy
INV-0004,PRD-001,WH-07,1126,457,43.1,26,2024-11-02,0,healthy
INV-0005,PRD-002,WH-15,631,374,32.4,19,2024-10-06,0,healthy
INV-0006,PRD-002,WH-08,514,374,33.5,15,2024-10-12,2,low
INV-0007,PRD-002,WH-05,1107,374,49.8,22,2024-10-29,1,healthy
INV-0008,PRD-002,WH-14,665,374,32.2,20,2024-11-23,0,healthy
INV-0009,PRD-003,WH-15,1017,394,45.0,22,2024-10-29,1,healthy
INV-0010,PRD-003,WH-14,691,394,23.7,29,2024-10-25,1,healthy
INV-0011,PRD-003,WH-06,977,394,34.9,27,2024-11-27,0,healthy
INV-0012,PRD-003,WH-08,681,394,8.0,85,2024-10-26,0,healthy
INV-0013,PRD-004,WH-05,432,175,31.4,13,2024-10-23,0,healthy
INV-0014,PRD-004,WH-07,480,175,44.3,10,2024-10-07,0,healthy
INV-0015,PRD-004,WH-06,188,175,19.1,9,2024-11-04,2,low
INV-0016,PRD-004,WH-14,510,175,12.0,42,2024-09-14,0,healthy
INV-0017,PRD-005,WH-07,116,372,17.5,6,2024-11-11,4,critical
INV-0018,PRD-005,WH-14,0,372,41.8,0,2024-11-26,5,stockout
INV-0019,PRD-005,WH-15,527,372,30.1,17,2024-11-28,2,low
INV-0020,PRD-005,WH-05,840,372,6.3,133,2024-10-14,1,healthy
INV-0021,PRD-006,WH-07,182,174,34.6,5,2024-11-21,0,low
INV-0022,PRD-006,WH-05,372,174,9.1,40,2024-10-24,1,healthy
INV-0023,PRD-006,WH-06,451,174,20.3,22,2024-10-12,1,healthy
INV-0024,PRD-006,WH-14,0,174,47.4,0,2024-09-11,5,stockout
INV-0025,PRD-007,WH-01,948,444,35.3,26,2024-11-24,1,healthy
INV-0026,PRD-007,WH-02,1122,444,26.9,41,2024-10-05,1,healthy
INV-0027,PRD-007,WH-07,786,444,39.0,20,2024-10-26,1,healthy
INV-0028,PRD-007,WH-05,1277,444,17.7,72,2024-11-07,1,healthy
INV-0029,PRD-008,WH-05,458,406,7.5,61,2024-09-28,1,low
INV-0030,PRD-008,WH-01,0,406,11.2,0,2024-10-08,4,stockout
INV-0031,PRD-008,WH-02,1122,406,10.4,107,2024-09-23,1,healthy
INV-0032,PRD-008,WH-04,848,406,22.1,38,2024-09-10,1,healthy
INV-0033,PRD-009,WH-07,188,112,5.8,32,2024-11-13,1,healthy
INV-0034,PRD-009,WH-08,332,112,30.8,10,2024-10-08,1,healthy
INV-0035,PRD-009,WH-06,252,112,23.2,10,2024-11-19,0,healthy
INV-0036,PRD-009,WH-01,261,112,42.4,6,2024-10-26,0,healthy
INV-0037,PRD-010,WH-11,356,336,23.0,15,2024-10-10,1,low
INV-0038,PRD-010,WH-01,171,336,20.3,8,2024-09-10,2,critical
INV-0039,PRD-010,WH-02,778,336,33.5,23,2024-10-15,0,healthy
INV-0040,PRD-010,WH-04,926,336,37.7,24,2024-10-01,0,healthy
INV-0041,PRD-011,WH-01,1376,467,32.1,42,2024-09-23,0,healthy
INV-0042,PRD-011,WH-02,0,467,33.3,0,2024-11-12,4,stockout
INV-0043,PRD-011,WH-03,349,467,31.1,11,2024-11-20,3,critical
INV-0044,PRD-011,WH-10,774,467,11.8,65,2024-10-27,1,healthy
INV-0045,PRD-012,WH-10,577,278,27.8,20,2024-10-28,1,healthy
INV-0046,PRD-012,WH-03,565,278,7.6,74,2024-11-22,0,healthy
INV-0047,PRD-012,WH-11,678,278,32.7,20,2024-10-30,1,healthy
INV-0048,PRD-012,WH-01,288,278,29.9,9,2024-11-13,1,low
INV-0049,PRD-013,WH-04,296,176,11.8,25,2024-09-14,1,healthy
INV-0050,PRD-013,WH-03,308,176,49.2,6,2024-09-06,0,healthy
INV-0051,PRD-013,WH-05,489,176,36.8,13,2024-10-17,0,healthy
INV-0052,PRD-013,WH-08,463,176,46.3,10,2024-10-14,1,healthy
INV-0053,PRD-014,WH-01,456,172,19.8,23,2024-10-03,1,healthy
INV-0054,PRD-014,WH-07,155,172,43.3,3,2024-10-13,2,critical
INV-0055,PRD-014,WH-06,331,172,31.2,10,2024-10-10,1,healthy
INV-0056,PRD-014,WH-03,222,172,36.4,6,2024-11-16,0,low
INV-0057,PRD-015,WH-02,325,221,40.6,8,2024-11-25,0,low
INV-0058,PRD-015,WH-03,315,221,42.3,7,2024-11-07,2,low
INV-0059,PRD-015,WH-05,549,221,34.1,16,2024-09-03,1,healthy
INV-0060,PRD-015,WH-04,442,221,18.9,23,2024-11-02,1,healthy
INV-0061,PRD-016,WH-02,422,246,18.3,23,2024-11-24,0,healthy
INV-0062,PRD-016,WH-11,687,246,44.4,15,2024-11-16,0,healthy
INV-0063,PRD-016,WH-10,463,246,11.9,38,2024-10-27,0,healthy
INV-0064,PRD-016,WH-09,717,246,23.5,30,2024-10-27,0,healthy
INV-0065,PRD-017,WH-09,570,219,15.8,36,2024-10-18,0,healthy
INV-0066,PRD-017,WH-03,275,219,47.6,5,2024-10-07,1,low
INV-0067,PRD-017,WH-04,0,219,22.2,0,2024-10-24,5,stockout
INV-0068,PRD-017,WH-02,639,219,41.8,15,2024-10-03,0,healthy
INV-0069,PRD-018,WH-01,340,249,47.0,7,2024-09-16,2,low
INV-0070,PRD-018,WH-10,457,249,8.8,51,2024-10-28,1,healthy
