shipment_id,supplier_id,product_id,destination_warehouse_id,origin_city,origin_country,destination_city,destination_country,order_date,scheduled_delivery_date,actual_delivery_date,delay_days,shipping_mode,carrier,status,quantity_units,shipment_cost_usd,is_late,late_delivery_risk,severity,risk_score
SHP-0001,SUP-035,PRD-104,WH-08,Nairobi,Kenya,Amsterdam,Netherlands,2024-09-24,2024-10-20,2024-10-21,1,Road,XPO Logistics,Delayed,476,28322.0,1,0.21,medium,0.211
SHP-0002,SUP-022,PRD-066,WH-08,São Paulo,Chile,Amsterdam,Netherlands,2022-06-04,2022-06-22,2022-06-22,0,Road,J.B. Hunt,Delivered,316,34617.8,0,0.17,low,0.054
SHP-0003,SUP-042,PRD-124,WH-09,Lima,Peru,São Paulo,Brazil,2023-06-18,2023-07-01,2023-07-01,0,Sea,Maersk,Delivered,207,13413.6,0,0.47,low,0.151
SHP-0004,SUP-042,PRD-126,WH-02,Buenos Aires,Peru,Los Angeles,United States,2024-08-09,2024-08-22,2024-08-23,1,Air,DHL,Delayed,454,30418.0,1,0.64,medium,0.347
SHP-0005,SUP-043,PRD-129,WH-01,Seoul,Australia,Chicago,United States,2024-12-22,2025-01-10,2025-01-10,0,Air,Emirates SkyCargo,In Transit,267,100659.0,0,0.33,low,0.102
SHP-0006,SUP-004,PRD-010,WH-05,Houston,United States,Berlin,Germany,2022-05-09,2022-05-14,2022-05-14,0,Road,J.B. Hunt,Delivered,484,45060.4,0,0.29,low,0.089
SHP-0007,SUP-030,PRD-089,WH-15,Shanghai,Japan,Lagos,Nigeria,2022-03-23,2022-04-10,2022-04-18,8,Road,J.B. Hunt,Delayed,154,2587.2,1,0.82,high,0.719
SHP-0008,SUP-041,PRD-121,WH-14,Sydney,India,Johannesburg,South Africa,2024-01-19,2024-02-07,2024-02-07,0,Air,FedEx,Delivered,212,95824.0,0,0.34,low,0.105
SHP-0009,SUP-020,PRD-060,WH-14,Jakarta,Singapore,Johannesburg,South Africa,2023-12-08,2024-01-05,2024-01-05,0,Sea,CMA CGM,Delivered,23,266.8,0,0.2,low,0.064
SHP-0010,SUP-012,PRD-035,WH-07,Amsterdam,Spain,London,United Kingdom,2022-06-07,2022-06-14,2022-06-15,1,Air,Emirates SkyCargo,Delayed,387,77013.0,1,0.6,medium,0.331
SHP-0011,SUP-046,PRD-136,WH-14,Jakarta,India,Johannesburg,South Africa,2022-08-21,2022-09-10,2022-09-10,0,Air,DHL,Delivered,351,8424.0,0,0.3,low,0.093
SHP-0012,SUP-002,PRD-004,WH-14,Lagos,Ghana,Johannesburg,South Africa,2022-11-26,2022-12-23,2022-12-25,2,Rail,DB Cargo,Delayed,48,156.0,1,0.4,medium,0.32
SHP-0013,SUP-016,PRD-048,WH-12,Accra,Kenya,Singapore,Singapore,2022-02-08,2022-03-04,2022-03-16,12,Air,Emirates SkyCargo,Delayed,261,72558.0,1,0.91,high,0.835
SHP-0014,SUP-015,PRD-043,WH-03,London,Germany,Toronto,Canada,2023-01-08,2023-01-14,2023-01-15,1,Rail,BNSF Railway,Delayed,322,13041.0,1,0.67,medium,0.368
SHP-0015,SUP-030,PRD-089,WH-01,Tokyo,Japan,Chicago,United States,2024-12-14,2025-01-01,2025-01-01,0,Air,Emirates SkyCargo,In Transit,327,15696.0,0,0.66,low,0.211
SHP-0016,SUP-039,PRD-117,WH-02,Los Angeles,Mexico,Los Angeles,United States,2024-09-14,2024-09-19,2024-09-19,0,Sea,Maersk,Delivered,479,47900.0,0,0.63,low,0.197
SHP-0017,SUP-047,PRD-141,WH-11,Dallas,United States,Santiago,Chile,2024-01-29,2024-02-05,2024-02-05,0,Sea,MSC,Delivered,424,18910.4,0,0.28,low,0.085
SHP-0018,SUP-028,PRD-084,WH-07,São Paulo,Colombia,London,United Kingdom,2023-10-28,2023-11-17,2023-11-17,0,Sea,CMA CGM,Delivered,229,91.6,0,0.43,low,0.136
SHP-0019,SUP-001,PRD-003,WH-14,Accra,Nigeria,Johannesburg,South Africa,2024-12-06,2025-01-01,2025-01-02,1,Sea,CMA CGM,Delayed,431,32411.2,1,0.44,medium,0.287
SHP-0020,SUP-029,PRD-085,WH-11,Santiago,Colombia,Santiago,Chile,2023-06-04,2023-06-14,2023-06-14,0,Road,J.B. Hunt,Delivered,161,14651.0,0,0.65,low,0.205
SHP-0021,SUP-031,PRD-091,WH-11,Vancouver,United States,Santiago,Chile,2023-01-02,2023-01-06,2023-01-08,2,Sea,CMA CGM,Delayed,223,9276.8,1,0.87,medium,0.466
SHP-0022,SUP-046,PRD-136,WH-02,Singapore,India,Los Angeles,United States,2022-11-28,2022-12-18,2022-12-18,0,Sea,MSC,Delivered,430,2064.0,0,0.22,low,0.069
SHP-0023,SUP-048,PRD-144,WH-09,Buenos Aires,Peru,São Paulo,Brazil,2024-03-07,2024-03-21,2024-03-22,1,Air,Emirates SkyCargo,Delayed,242,77440.0,1,0.08,medium,0.169
SHP-0024,SUP-022,PRD-064,WH-03,São Paulo,Chile,Toronto,Canada,2022-03-19,2022-04-06,2022-04-06,0,Sea,CMA CGM,Delivered,286,25968.8,0,0.14,low,0.045
SHP-0025,SUP-042,PRD-124,WH-11,Santiago,Peru,Santiago,Chile,2024-12-10,2024-12-23,2024-12-27,4,Sea,CMA CGM,Delayed,138,8942.4,1,0.53,medium,0.449
SHP-0026,SUP-046,PRD-136,WH-04,Mumbai,India,Houston,United States,2022-01-01,2022-01-21,2022-01-22,1,Sea,CMA CGM,Delayed,222,1065.6,1,0.17,medium,0.199
SHP-0027,SUP-018,PRD-054,WH-05,Paris,Poland,Berlin,Germany,2022-07-04,2022-07-10,2022-07-10,0,Road,J.B. Hunt,Delivered,198,16839.9,0,0.45,low,0.145
SHP-0028,SUP-023,PRD-067,WH-02,Singapore,India,Los Angeles,United States,2024-04-07,2024-04-30,2024-05-01,1,Air,DHL,Delayed,277,76452.0,1,0.44,medium,0.287
SHP-0029,SUP-010,PRD-030,WH-09,Atlanta,Mexico,São Paulo,Brazil,2024-06-25,2024-06-28,2024-06-28,0,Road,DB Schenker,Delivered,417,18097.8,0,0.19,low,0.058
SHP-0030,SUP-035,PRD-105,WH-14,Cairo,Kenya,Johannesburg,South Africa,2023-12-26,2024-01-21,2024-01-21,0,Sea,Maersk,Delivered,429,36550.8,0,0.14,low,0.045
SHP-0031,SUP-028,PRD-084,WH-06,São Paulo,Colombia,Paris,France,2022-11-22,2022-12-12,2022-12-12,0,Sea,CMA CGM,Delivered,496,198.4,0,0.4,low,0.127
SHP-0032,SUP-026,PRD-077,WH-06,Accra,South Africa,Paris,France,2024-12-28,2025-01-18,2025-01-18,0,Sea,Maersk,In Transit,140,10724.0,0,0.57,low,0.177
SHP-0033,SUP-022,PRD-064,WH-01,Buenos Aires,Chile,Chicago,United States,2023-05-27,2023-06-14,2023-06-14,0,Road,XPO Logistics,Delivered,491,78019.9,0,0.07,low,0.024
SHP-0034,SUP-046,PRD-137,WH-12,Shanghai,India,Singapore,Singapore,2024-09-14,2024-10-04,2024-10-04,0,Rail,BNSF Railway,Delivered,464,13688.0,0,0.13,low,0.042
SHP-0035,SUP-016,PRD-048,WH-07,Cairo,Kenya,London,United Kingdom,2023-03-31,2023-04-24,2023-04-29,5,Rail,DB Cargo,Delayed,277,19251.5,1,0.75,medium,0.562
SHP-0036,SUP-047,PRD-139,WH-05,Los Angeles,United States,Berlin,Germany,2024-11-27,2024-12-04,2024-12-04,0,Road,XPO Logistics,Delivered,365,9964.5,0,0.11,low,0.034
SHP-0037,SUP-042,PRD-124,WH-03,Bogotá,Peru,Toronto,Canada,2023-10-09,2023-10-22,2023-10-22,0,Road,DB Schenker,Delivered,114,12927.6,0,0.5,low,0.16
SHP-0038,SUP-018,PRD-053,WH-02,Stockholm,Poland,Los Angeles,United States,2024-03-31,2024-04-06,2024-04-07,1,Road,XPO Logistics,Delayed,436,9308.6,1,0.38,medium,0.269
SHP-0039,SUP-023,PRD-067,WH-14,Sydney,India,Johannesburg,South Africa,2024-10-16,2024-11-08,2024-11-08,0,Air,FedEx,Delivered,88,24288.0,0,0.65,low,0.205
SHP-0040,SUP-044,PRD-132,WH-08,Cairo,Nigeria,Amsterdam,Netherlands,2024-10-13,2024-11-03,2024-11-04,1,Air,FedEx,Delayed,263,88368.0,1,0.3,medium,0.239
SHP-0041,SUP-009,PRD-026,WH-02,Madrid,Poland,Los Angeles,United States,2024-01-10,2024-01-20,2024-01-20,0,Road,DB Schenker,Delivered,30,1722.0,0,0.47,low,0.147
SHP-0042,SUP-028,PRD-084,WH-07,Buenos Aires,Colombia,London,United Kingdom,2022-12-24,2023-01-13,2023-01-13,0,Sea,MSC,Delivered,364,145.6,0,0.5,low,0.157
SHP-0043,SUP-050,PRD-149,WH-13,Sydney,Japan,Tokyo,Japan,2023-08-10,2023-08-28,2023-08-28,0,Sea,MSC,Delivered,235,3149.0,0,0.84,low,0.269
SHP-0044,SUP-041,PRD-122,WH-13,Tokyo,India,Tokyo,Japan,2022-11-28,2022-12-17,2022-12-17,0,Air,Emirates SkyCargo,Delivered,169,53911.0,0,0.26,low,0.081
SHP-0045,SUP-043,PRD-129,WH-14,Ho Chi Minh City,Australia,Johannesburg,South Africa,2024-06-30,2024-07-19,2024-07-19,0,Road,J.B. Hunt,Delivered,250,32987.5,0,0.17,low,0.054
SHP-0046,SUP-016,PRD-046,WH-05,Lagos,Kenya,Berlin,Germany,2023-05-31,2023-06-24,2023-06-25,1,Air,DHL,Delayed,499,64870.0,1,0.91,medium,0.43
SHP-0047,SUP-040,PRD-118,WH-05,Warsaw,United Kingdom,Berlin,Germany,2024-12-09,2024-12-19,2024-12-19,0,Sea,Maersk,In Transit,63,2268.0,0,0.85,low,0.266
SHP-0048,SUP-030,PRD-089,WH-02,Mumbai,Japan,Los Angeles,United States,2023-08-05,2023-08-23,2023-08-28,5,Air,FedEx,Delayed,460,22080.0,1,0.92,medium,0.614
